ID,year
127720,1952
128050,1973
128120,1952
128220,1973
128250,1973
128390,1952
128430,1973
128600,1952
128820,1952
128920,1973
129100,1977
129150,1977
129350,1973
129420,1952
129600,1973
129700,1973
129820,1952
129920,1973
150040,1965
150100,1952
150800,1952
151200,1952
151450,1953
151700,1966
152000,1952
152300,1952
152470,1952
152600,1952
